text,category
My 8 month old refuses to eat solid food what should I try,Nutrition
What are good finger foods for a one year old,Nutrition
My toddler only wants milk and rejects vegetables,Nutrition
How much protein does a 3 year old need daily,Nutrition
Best iron rich foods for toddlers who are picky eaters,Nutrition
My child is underweight for his age what foods help,Nutrition
Is it okay to give my baby cow milk before one year,Nutrition
How to introduce peanuts safely to avoid allergies,Nutrition
My baby wakes up every two hours at night any tips,Sleep
How to get a 2 year old to nap during the day,Sleep
My toddler fights bedtime every single night,Sleep
Is co sleeping safe for a newborn,Sleep
When should I start sleep training my baby,Sleep
My child has night terrors what should I do,Sleep
How many hours of sleep does a 4 year old need,Sleep
Baby will only sleep if held is this normal,Sleep
My son hits other kids at preschool how do I stop this,Behaviour
How to handle temper tantrums in public,Behaviour
My daughter refuses to share her toys with friends,Behaviour
Best way to discipline a 5 year old without yelling,Behaviour
My toddler bites when frustrated any advice,Behaviour
How to deal with a defiant strong willed child,Behaviour
My kid throws things when he doesnt get his way,Behaviour
Which board is better CBSE or ICSE for my child,Education
My son is struggling with reading in grade 1,Education
How to make homework time less stressful,Education
Is it too early to start phonics for a 3 year old,Education
My daughter hates going to school every morning,Education
Best extracurricular activities for a 6 year old,Education
How do I know if my child needs a tutor,Education
When should my baby start rolling over,Child Development
My 18 month old is not talking yet is this normal,Child Development
What are the developmental milestones for a 2 year old,Child Development
My toddler walks on his toes should I be concerned,Child Development
How to encourage fine motor skills in a 1 year old,Child Development
Is it normal for a 3 year old to stutter,Child Development
When do babies usually start crawling,Child Development
My baby has had a fever for two days what should I do,Health
What is a normal temperature for a toddler,Health
My child has a persistent cough should I see a doctor,Health
How to treat diaper rash at home,Health
My kid keeps getting ear infections what can help,Health
Is it safe to give paracetamol to a 2 year old,Health
My toddler has a rash all over his body,Health
What vaccines are due at 9 months,Health
"My 1 year old is a very picky eater, how can I improve meals?",Nutrition
What healthy snacks are suitable for a 2 year old?,Nutrition
"My child refuses breakfast most mornings, what can I try?",Nutrition
How can I introduce more vegetables into my child's diet?,Nutrition
What are some balanced lunch ideas for a young child?,Nutrition
"My toddler keeps asking for sweets, how should I handle it?",Nutrition
