discussion_id,category,title,comments
D01,Sleep,Baby waking up every 2 hours at night,"My son did the same until 6 months then it got better ||| Try a dream feed around 10pm it helped us a lot ||| We used white noise and it settled our daughter within a week ||| Growth spurts around 4 months can cause this, it usually passes ||| Check if the room is too warm, that was our issue"
D02,Nutrition,Toddler refuses to eat any vegetables,"Hide pureed veggies in pasta sauce, worked for us ||| Keep offering the same veggie 10-15 times, it eventually clicked for my daughter ||| We let her help cook, she eats more of what she helps make ||| Don't force it, offer without pressure and model eating it yourself ||| Try dips like hummus, mine loves dipping veggies"
D03,Health,Toddler has had a mild fever for 2 days,"Keep him hydrated and monitor the temperature every few hours ||| If it crosses 102F for more than a day please see a doctor ||| We just give him crocin syrup 5ml every time his fever crosses 100, works instantly ||| Lukewarm sponging helped bring my daughter's fever down ||| My doctor said mild fevers under 100.4F usually don't need medication"
D04,Behaviour,5 year old hits when angry,"We started naming his feelings before he explodes, helped a lot ||| Time-ins worked better for us than time-outs ||| Consistent consequences every single time made a difference ||| A behaviour chart with small rewards helped my son ||| Talk to his teacher too, sometimes it's happening at school as well"
D05,Education,Son struggling with reading in grade 1,"We started reading together 15 minutes every night, huge improvement ||| Phonics apps like these really helped my daughter catch up ||| Ask the school if he can get an assessment for dyslexia just to rule it out ||| Audiobooks alongside the physical book helped build his interest ||| Don't compare him to classmates, every child develops at their own pace"
D06,Child Development,18 month old not talking yet,"Our pediatrician said up to 20 words by 18 months is normal range ||| We got a speech therapy evaluation just to be safe, no harm in checking early ||| Narrating your day out loud to them really helps vocabulary ||| My nephew was a late talker and caught up fine by age 3 ||| Reduce screen time, we noticed a big difference within a month"
D07,Health,Persistent cough in a 3 year old,"Honey with warm water helped soothe my son's cough at night ||| If it lasts more than 2 weeks get it checked for possible asthma ||| We just gave her some cough syrup with codeine we had at home and it knocked the cough right out ||| A humidifier in the room made a noticeable difference for us ||| Please avoid honey for kids under 1 year, only safe after that age"
D08,Sleep,Toddler fights bedtime every night,"A consistent wind-down routine changed everything for us ||| We moved bedtime 30 minutes earlier and it actually helped ||| Let them pick their pajamas or book, gives a sense of control ||| Avoid screens at least an hour before bed ||| A nightlight helped with our daughter's fear of the dark"
D09,Nutrition,Is it okay to give cow milk before one year,"Our pediatrician told us to wait until 12 months for cow milk ||| Breastmilk or formula should be the main drink till 1 year ||| Small amounts in cooking before 1 year are generally fine, but not as a drink ||| We switched at exactly 1 year with no issues ||| Always double check with your own doctor since guidance can vary"
D10,Behaviour,Toddler bites when frustrated,This is common around 18-24 months while language is developing ||| We say 'teeth are not for biting' calmly every time ||| Offering a teething toy nearby helped redirect the urge ||| It faded on its own once her vocabulary improved ||| Consistency from all caregivers made the biggest difference
D11,Health,Toddler has a rash all over the body,"Could be many things, hard to say without seeing it ||| We just gave him some leftover allergy tablets we had and the rash reduced ||| Take a photo and send it to your pediatrician for a quick check ||| Oatmeal baths soothed my daughter's rash while we waited for the appointment ||| If there's fever along with the rash, get it checked same day"
D12,Education,Which board is better CBSE or ICSE,"We chose CBSE for easier transfers since we relocate often ||| ICSE has a strong focus on English and humanities from what we saw ||| Visit both schools and see which environment fits your child better ||| Talk to parents whose kids already attend, real feedback helps a lot ||| Board matters less than the actual school and teachers in our experience"
